Task_ID,Task_Description,Category,Priority,Days_Remaining,Estimated_Hours,Current_Workload,Assigned_User,Cleaned_Description
389,Develop payment gateway,Development,Medium,30,11,48,Developer_1,develop payment gateway
390,Create REST API for products,Development,Critical,4,16,41,Manager_1,creat rest api product
391,Develop payment gateway,Development,Critical,18,11,46,Designer_1,develop payment gateway
392,Update installation guide,Documentation,High,10,9,56,Manager_1,updat instal guid
393,Document database structure,Documentation,Low,24,16,50,Developer_2,document databas structur
394,Test payment module,Testing,Medium,19,8,28,Developer_1,test payment modul
395,Perform regression testing,Testing,Critical,19,14,47,Developer_2,perform regress test
396,Implement dashboard functionality,Development,Medium,19,8,73,Manager_1,implement dashboard function
397,Test payment module,Testing,High,16,16,68,Developer_2,test payment modul
398,Perform API testing,Testing,Low,18,16,33,Manager_1,perform api test
399,Resolve application crash,Bug,Low,28,3,95,Developer_1,resolv applic crash
400,Debug API response failure,Bug,Low,21,8,18,Developer_2,debug api respons failur
401,Resolve payment processing error,Bug,Medium,12,2,89,Manager_1,resolv payment process error
402,Write technical documentation,Documentation,Medium,1,18,80,Designer_1,write technic document
403,Fix login authentication bug,Bug,Medium,9,18,46,Developer_1,fix login authent bug
404,Design mobile interface,Design,High,26,6,23,Developer_1,design mobil interfac
405,Create dashboard UI,Design,Medium,20,17,42,Tester_1,creat dashboard ui
406,Validate dashboard functionality,Testing,Medium,12,13,68,Manager_1,valid dashboard function
407,Create user profile page,Development,Medium,22,3,93,Developer_1,creat user profil page
408,Debug API response failure,Bug,Medium,18,16,17,Developer_1,debug api respons failur
409,Develop user authentication module,Development,Medium,14,11,82,Developer_1,develop user authent modul
410,Design login page,Design,Medium,29,19,70,Tester_1,design login page
411,Fix login authentication bug,Bug,High,9,18,82,Developer_1,fix login authent bug
412,Implement notification system,Development,Medium,7,19,28,Designer_1,implement notif system
413,Fix database connection issue,Bug,Low,8,19,59,Manager_1,fix databas connect issu
414,Check application security,Testing,High,5,3,74,Tester_1,check applic secur
415,Fix login authentication bug,Bug,Medium,27,3,53,Manager_1,fix login authent bug
416,Create application prototype,Design,Medium,25,11,13,Tester_1,creat applic prototyp
417,Document database structure,Documentation,Medium,18,13,65,Developer_2,document databas structur
418,Design mobile interface,Design,Medium,25,20,47,Developer_2,design mobil interfac
419,Fix login authentication bug,Bug,Medium,13,5,59,Tester_1,fix login authent bug
420,Test login functionality,Testing,Low,10,15,56,Tester_1,test login function
421,Resolve payment processing error,Bug,Low,14,15,81,Manager_1,resolv payment process error
422,Improve website layout,Design,Low,3,12,80,Developer_1,improv websit layout
423,Create application prototype,Design,High,28,13,11,Tester_1,creat applic prototyp
424,Document database structure,Documentation,High,24,18,41,Manager_1,document databas structur
425,Create dashboard UI,Design,High,6,5,44,Tester_1,creat dashboard ui
426,Check application security,Testing,Low,6,14,45,Designer_1,check applic secur
427,Check application security,Testing,High,12,9,41,Designer_1,check applic secur
428,Create application prototype,Design,Low,4,5,48,Developer_1,creat applic prototyp
429,Prepare user manual,Documentation,High,13,11,66,Tester_1,prepar user manual
430,Write technical documentation,Documentation,Critical,5,10,51,Manager_1,write technic document
431,Develop payment gateway,Development,Medium,13,11,47,Designer_1,develop payment gateway
432,Create dashboard UI,Design,Medium,9,13,56,Developer_1,creat dashboard ui
433,Create dashboard UI,Design,High,18,6,97,Manager_1,creat dashboard ui
434,Fix user registration problem,Bug,Medium,23,7,66,Tester_1,fix user registr problem
435,Correct password reset issue,Bug,High,26,14,96,Designer_1,correct password reset issu
436,Create user profile page,Development,Medium,9,5,64,Designer_1,creat user profil page
437,Debug API response failure,Bug,Critical,16,19,61,Manager_1,debug api respons failur
438,Design mobile interface,Design,Medium,2,12,99,Manager_1,design mobil interfac
439,Design mobile interface,Design,Critical,4,8,94,Tester_1,design mobil interfac
440,Create user profile page,Development,High,19,13,52,Designer_1,creat user profil page
441,Fix login authentication bug,Bug,Low,8,17,76,Manager_1,fix login authent bug
442,Design mobile interface,Design,High,15,12,60,Designer_1,design mobil interfac
443,Design mobile interface,Design,Medium,12,1,71,Developer_1,design mobil interfac
444,Check application security,Testing,Critical,3,4,28,Tester_1,check applic secur
445,Test payment module,Testing,Medium,7,17,71,Tester_1,test payment modul
446,Update project documentation,Documentation,Medium,23,15,50,Developer_1,updat project document
447,Test login functionality,Testing,High,4,1,53,Developer_1,test login function
448,Create user profile page,Development,Medium,6,18,30,Tester_1,creat user profil page
449,Improve website layout,Design,Critical,8,13,90,Developer_2,improv websit layout
450,Create user profile page,Development,High,13,1,88,Developer_2,creat user profil page
451,Update installation guide,Documentation,Medium,1,7,36,Tester_1,updat instal guid
452,Resolve application crash,Bug,Low,28,18,33,Tester_1,resolv applic crash
453,Perform API testing,Testing,Medium,9,16,77,Tester_1,perform api test
454,Improve website layout,Design,High,19,4,54,Tester_1,improv websit layout
455,Update installation guide,Documentation,Low,22,10,88,Manager_1,updat instal guid
456,Fix user registration problem,Bug,Low,4,8,49,Developer_1,fix user registr problem
457,Implement dashboard functionality,Development,High,17,13,63,Manager_1,implement dashboard function
458,Build task management module,Development,Medium,6,16,91,Manager_1,build task manag modul
459,Build task management module,Development,Low,10,5,33,Tester_1,build task manag modul
460,Update installation guide,Documentation,Low,12,1,72,Developer_2,updat instal guid
461,Implement notification system,Development,Medium,18,17,93,Designer_1,implement notif system
462,Write technical documentation,Documentation,Medium,23,15,72,Developer_2,write technic document
463,Resolve application crash,Bug,Low,25,8,47,Developer_1,resolv applic crash
464,Perform API testing,Testing,Medium,6,15,82,Designer_1,perform api test
465,Create application prototype,Design,Low,4,9,79,Tester_1,creat applic prototyp
466,Design login page,Design,High,15,18,37,Designer_1,design login page
467,Fix user registration problem,Bug,High,25,8,48,Developer_1,fix user registr problem
468,Prepare user manual,Documentation,Medium,27,3,66,Developer_1,prepar user manual
469,Create REST API for products,Development,High,19,12,100,Manager_1,creat rest api product
470,Write API documentation,Documentation,High,26,7,36,Developer_1,write api document
471,Design user profile interface,Design,Medium,20,18,31,Tester_1,design user profil interfac
472,Test payment module,Testing,High,28,17,96,Developer_1,test payment modul
473,Implement notification system,Development,High,30,2,45,Developer_2,implement notif system
474,Create REST API for products,Development,Low,11,8,96,Designer_1,creat rest api product
475,Write API documentation,Documentation,High,9,14,58,Designer_1,write api document
476,Fix user registration problem,Bug,High,25,3,61,Manager_1,fix user registr problem
477,Test user registration,Testing,Critical,12,15,72,Tester_1,test user registr
478,Design login page,Design,Critical,28,3,68,Tester_1,design login page
479,Correct password reset issue,Bug,Medium,7,14,37,Designer_1,correct password reset issu
480,Test payment module,Testing,High,11,18,83,Developer_2,test payment modul
481,Improve website layout,Design,High,29,2,15,Developer_1,improv websit layout
482,Update project documentation,Documentation,Low,28,6,66,Designer_1,updat project document
483,Debug API response failure,Bug,Medium,23,5,93,Tester_1,debug api respons failur
484,Implement notification system,Development,Critical,9,3,93,Tester_1,implement notif system
485,Test login functionality,Testing,Medium,29,6,16,Designer_1,test login function
486,Test user registration,Testing,High,8,14,93,Developer_1,test user registr
487,Fix login authentication bug,Bug,Medium,3,5,85,Developer_2,fix login authent bug
488,Design mobile interface,Design,Medium,1,11,25,Designer_1,design mobil interfac
489,Develop payment gateway,Development,Low,13,3,23,Developer_1,develop payment gateway
490,Test payment module,Testing,Critical,5,13,27,Developer_2,test payment modul
491,Resolve application crash,Bug,High,20,6,66,Tester_1,resolv applic crash
492,Create user profile page,Development,High,30,14,88,Designer_1,creat user profil page
493,Develop user authentication module,Development,Critical,5,4,85,Designer_1,develop user authent modul
494,Check application security,Testing,Medium,5,8,45,Developer_1,check applic secur
495,Build task management module,Development,High,24,20,46,Developer_1,build task manag modul
496,Perform API testing,Testing,Medium,17,7,60,Tester_1,perform api test
497,Correct password reset issue,Bug,Critical,8,16,59,Developer_1,correct password reset issu
498,Develop payment gateway,Development,High,3,17,11,Tester_1,develop payment gateway
499,Perform API testing,Testing,Medium,27,19,63,Tester_1,perform api test
500,Design mobile interface,Design,Low,16,3,12,Manager_1,design mobil interfac
