Task_ID,Task_Description,Category,Priority,Days_Remaining,Estimated_Hours,Current_Workload,Assigned_User
485,Test login functionality,Testing,Medium,29,6,16,Designer_1
486,Test user registration,Testing,High,8,14,93,Developer_1
487,Fix login authentication bug,Bug,Medium,3,5,85,Developer_2
488,Design mobile interface,Design,Medium,1,11,25,Designer_1
489,Develop payment gateway,Development,Low,13,3,23,Developer_1
490,Test payment module,Testing,Critical,5,13,27,Developer_2
491,Resolve application crash,Bug,High,20,6,66,Tester_1
492,Create user profile page,Development,High,30,14,88,Designer_1
493,Develop user authentication module,Development,Critical,5,4,85,Designer_1
494,Check application security,Testing,Medium,5,8,45,Developer_1
495,Build task management module,Development,High,24,20,46,Developer_1
496,Perform API testing,Testing,Medium,17,7,60,Tester_1
497,Correct password reset issue,Bug,Critical,8,16,59,Developer_1
498,Develop payment gateway,Development,High,3,17,11,Tester_1
499,Perform API testing,Testing,Medium,27,19,63,Tester_1
500,Design mobile interface,Design,Low,16,3,12,Manager_1
